match_id,stage,round_label,group,date,kickoff_local_hour,utc_offset,home_team,away_team,venue_city,ht_home,ht_away,ft_home,ft_away,final_home,final_away,went_to_et,went_to_pens,pen_home,pen_away,stadium,country,elevation_m,roof,lat,lon,capacity,is_knockout,total_goals,ninety_min_goals,goal_margin,first_half_goals,second_half_goals,sheltered,shelter_label,highland,kickoff_bucket
39,Group stage,Matchday 11,Group G,2026-06-21,12.0,-7,Belgium,Iran,Los Angeles (Inglewood),0,0,0,0,0,0,False,False,,,SoFi Stadium,USA,30,canopy,33.9535,-118.3392,70240,False,0,0,0,0,0,True,Sheltered (roof or canopy),False,Midday (<14h)
40,Group stage,Matchday 11,Group G,2026-06-21,18.0,-7,New Zealand,Egypt,Vancouver,1,0,1,3,1,3,False,False,,,BC Place,Canada,5,retractable,49.2767,-123.112,54500,False,4,4,2,1,3,True,Sheltered (roof or canopy),False,Evening (17-20h)
41,Group stage,Matchday 16,Group G,2026-06-26,20.0,-7,Egypt,Iran,Seattle,1,1,1,1,1,1,False,False,,,Lumen Field,USA,10,canopy,47.5952,-122.3316,68740,False,2,2,0,2,0,True,Sheltered (roof or canopy),False,Evening (17-20h)
42,Group stage,Matchday 16,Group G,2026-06-26,20.0,-7,New Zealand,Belgium,Vancouver,0,1,1,5,1,5,False,False,,,BC Place,Canada,5,retractable,49.2767,-123.112,54500,False,6,6,4,1,5,True,Sheltered (roof or canopy),False,Evening (17-20h)
43,Group stage,Matchday 5,Group H,2026-06-15,12.0,-4,Spain,Cape Verde,Atlanta,0,0,0,0,0,0,False,False,,,Mercedes-Benz Stadium,USA,320,retractable,33.7554,-84.4008,71000,False,0,0,0,0,0,True,Sheltered (roof or canopy),False,Midday (<14h)
44,Group stage,Matchday 5,Group H,2026-06-15,18.0,-4,Saudi Arabia,Uruguay,Miami (Miami Gardens),1,0,1,1,1,1,False,False,,,Hard Rock Stadium,USA,2,canopy,25.958,-80.2389,65326,False,2,2,0,1,1,True,Sheltered (roof or canopy),False,Evening (17-20h)
45,Group stage,Matchday 11,Group H,2026-06-21,12.0,-4,Spain,Saudi Arabia,Atlanta,3,0,4,0,4,0,False,False,,,Mercedes-Benz Stadium,USA,320,retractable,33.7554,-84.4008,71000,False,4,4,4,3,1,True,Sheltered (roof or canopy),False,Midday (<14h)
46,Group stage,Matchday 11,Group H,2026-06-21,18.0,-4,Uruguay,Cape Verde,Miami (Miami Gardens),2,1,2,2,2,2,False,False,,,Hard Rock Stadium,USA,2,canopy,25.958,-80.2389,65326,False,4,4,0,3,1,True,Sheltered (roof or canopy),False,Evening (17-20h)
47,Group stage,Matchday 16,Group H,2026-06-26,19.0,-5,Cape Verde,Saudi Arabia,Houston,0,0,0,0,0,0,False,False,,,NRG Stadium,USA,15,retractable,29.6847,-95.4107,72220,False,0,0,0,0,0,True,Sheltered (roof or canopy),False,Evening (17-20h)
48,Group stage,Matchday 16,Group H,2026-06-26,18.0,-6,Uruguay,Spain,Guadalajara (Zapopan),0,1,0,1,0,1,False,False,,,Estadio Akron,Mexico,1566,open,20.6819,-103.4625,49813,False,1,1,1,1,0,False,Fully open bowl,True,Evening (17-20h)
49,Group stage,Matchday 6,Group I,2026-06-16,15.0,-4,France,Senegal,New York/New Jersey (East Rutherford),0,0,3,1,3,1,False,False,,,MetLife Stadium,USA,5,open,40.8135,-74.0745,82500,False,4,4,2,0,4,False,Fully open bowl,False,Afternoon (14-17h)
50,Group stage,Matchday 6,Group I,2026-06-16,18.0,-4,Iraq,Norway,Boston (Foxborough),1,2,1,4,1,4,False,False,,,Gillette Stadium,USA,30,open,42.0909,-71.2643,65878,False,5,5,3,3,2,False,Fully open bowl,False,Evening (17-20h)
51,Group stage,Matchday 12,Group I,2026-06-22,17.0,-4,France,Iraq,Philadelphia,1,0,3,0,3,0,False,False,,,Lincoln Financial Field,USA,10,open,39.9008,-75.1675,69796,False,3,3,3,1,2,False,Fully open bowl,False,Afternoon (14-17h)
52,Group stage,Matchday 12,Group I,2026-06-22,20.0,-4,Norway,Senegal,New York/New Jersey (East Rutherford),1,0,3,2,3,2,False,False,,,MetLife Stadium,USA,5,open,40.8135,-74.0745,82500,False,5,5,1,1,4,False,Fully open bowl,False,Evening (17-20h)
53,Group stage,Matchday 16,Group I,2026-06-26,15.0,-4,Norway,France,Boston (Foxborough),1,3,1,4,1,4,False,False,,,Gillette Stadium,USA,30,open,42.0909,-71.2643,65878,False,5,5,3,4,1,False,Fully open bowl,False,Afternoon (14-17h)
54,Group stage,Matchday 16,Group I,2026-06-26,15.0,-4,Senegal,Iraq,Toronto,1,0,5,0,5,0,False,False,,,BMO Field,Canada,80,open,43.6332,-79.4185,45000,False,5,5,5,1,4,False,Fully open bowl,False,Afternoon (14-17h)
55,Group stage,Matchday 6,Group J,2026-06-16,20.0,-5,Argentina,Algeria,Kansas City,1,0,3,0,3,0,False,False,,,Arrowhead Stadium,USA,270,open,39.0489,-94.4839,76416,False,3,3,3,1,2,False,Fully open bowl,False,Evening (17-20h)
56,Group stage,Matchday 6,Group J,2026-06-16,21.0,-7,Austria,Jordan,San Francisco Bay Area (Santa Clara),1,0,3,1,3,1,False,False,,,Levi's Stadium,USA,9,open,37.4033,-121.9694,68500,False,4,4,2,1,3,False,Fully open bowl,False,Night (20h+)
57,Group stage,Matchday 12,Group J,2026-06-22,12.0,-5,Argentina,Austria,Dallas (Arlington),1,0,2,0,2,0,False,False,,,AT&T Stadium,USA,180,retractable,32.7473,-97.0945,80000,False,2,2,2,1,1,True,Sheltered (roof or canopy),False,Midday (<14h)
58,Group stage,Matchday 12,Group J,2026-06-22,20.0,-7,Jordan,Algeria,San Francisco Bay Area (Santa Clara),1,0,1,2,1,2,False,False,,,Levi's Stadium,USA,9,open,37.4033,-121.9694,68500,False,3,3,1,1,2,False,Fully open bowl,False,Evening (17-20h)
